OrderID,Year,State,Category,ProductName,Brand,PaymentMethod,OrderStatus,Quantity,TotalAmount,Tax,ShippingCost
1,2024,IL,Electronics,Smartwatch,HomeEase,Amazon Pay,Delivered,-967,15849.45999999404,10.58,109.48
2,2021,PA,Sports & Outdoors,LED Desk Lamp,HomeEase,Debit Card,Delivered,68,12841.07,9.33,124.5
3,2023,TX,Toys & Games,Gaming Mouse,BrightMax,UPI,Pending,60,15698.93,28.24,106.06
4,2023,TX,Home & Kitchen,LED Desk Lamp,ReadMore,Credit Card,Delivered,40,10553.35,29.47,140.99
5,2024,IN,Clothing,Water Bottle,Apex,UPI,Delivered,51,9288.8,28.98,193.86
6,2021,TX,Home & Kitchen,Electric Kettle,BrightMax,Cash on Delivery,Delivered,47,20618.04,22.38,111.95
7,2020,NC,Books,Gaming Mouse,HomeEase,Cash on Delivery,Pending,69,10479.08,25.56,94.47
8,2021,OH,Electronics,LED Desk Lamp,CoreTech,Debit Card,Delivered,42,14735.78,17.39,184.32
9,2022,CA,Clothing,Mechanical Keyboard,BrightMax,Net Banking,Cancelled,55,15335.1,23.29,125.0
10,2022,CA,Electronics,Mechanical Keyboard,HomeEase,Credit Card,Delivered,57,21184.09,14.23,183.07
11,2020,CO,Toys & Games,Water Bottle,ReadMore,Debit Card,Delivered,61,16119.56,11.34,183.76
12,2024,TX,Toys & Games,Electric Kettle,HomeEase,Amazon Pay,Delivered,34,18751.39,17.66,171.37
13,2020,PA,Home & Kitchen,Smartwatch,KiddoFun,Credit Card,Delivered,48,20995.74,11.68,87.4
14,2024,TX,Clothing,Gaming Mouse,KiddoFun,Debit Card,Shipped,62,13258.18,15.05,191.01
15,2020,PA,Clothing,LED Desk Lamp,UrbanStyle,Cash on Delivery,Delivered,53,8878.49,33.35,182.72
16,2023,CO,Electronics,Electric Kettle,Zenith,Amazon Pay,Delivered,35,9056.68,21.82,111.66
17,2022,IN,Clothing,Jeans,UrbanStyle,Amazon Pay,Returned,59,14103.66,14.86,148.81
18,2023,IL,Electronics,LED Desk Lamp,KiddoFun,UPI,Shipped,39,19501.53,26.6,132.0
